	impact	impact_unit	stressor	factor
297118	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	Cd - non combustion - Refined copper; unwrought, not alloyed - air	43.63393252
297119	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	Cd - non combustion - Refined lead, unwrought - air	43.63393252
297120	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	Cd - non combustion - Steel production: basic oxygen furnace - air	43.63393252
297121	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	Cd - non combustion - Steel production: electric arc furnace - air	43.63393252
297122	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	Cd - non combustion - Steel production: open hearth furnace - air	43.63393252
297123	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	Cd - non combustion - Unrefined copper; copper anodes for electrolytic refining - air	43.63393252
297124	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	Cd - non combustion - Zinc, unwrought, not alloyed - air	43.63393252
297125	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	Cr - non combustion - Agglomeration plant - pellets - air	101.289015
297126	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	Cr - non combustion - Agglomeration plant - sinter - air	101.289015
297127	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	Cr - non combustion - Glass production - air	101.289015
297128	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	Cr - non combustion - Pig iron production, blast furnace - air	101.289015
297129	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	Cr - non combustion - Steel production: basic oxygen furnace - air	101.289015
297130	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	Cr - non combustion - Steel production: electric arc furnace - air	101.289015
297131	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	Cr - non combustion - Steel production: open hearth furnace - air	101.289015
297132	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	Cu - non combustion - Agglomeration plant - pellets - air	2.905583418
297133	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	Cu - non combustion - Agglomeration plant - sinter - air	2.905583418
297134	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	Cu - non combustion - Glass production - air	2.905583418
297135	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	Cu - non combustion - Pig iron production, blast furnace - air	2.905583418
297136	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	Cu - non combustion - Steel production: basic oxygen furnace - air	2.905583418
297137	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	Cu - non combustion - Steel production: electric arc furnace - air	2.905583418
297138	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	Cu - non combustion - Steel production: open hearth furnace - air	2.905583418
297139	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	HCB - non combustion - Agglomeration plant - pellets - air	0.261304014
297140	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	HCB - non combustion - Agglomeration plant - sinter - air	0.261304014
297141	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	Hg - non combustion - Agglomeration plant - pellets - air	12318.83244
297142	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	Hg - non combustion - Agglomeration plant - sinter - air	12318.83244
297143	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	Hg - non combustion - Glass production - air	12318.83244
297144	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	Hg - non combustion - Nickel, unwrought - air	12318.83244
297145	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	Hg - non combustion - Pig iron production, blast furnace - air	12318.83244
297146	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	Hg - non combustion - Production of coke oven coke - air	12318.83244
297147	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	Hg - non combustion - Production of gascoke - air	12318.83244
297148	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	Hg - non combustion - Refined copper; unwrought, not alloyed - air	12318.83244
297149	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	Hg - non combustion - Refined lead, unwrought - air	12318.83244
297150	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	HCB - non combustion - Secondary aluminium production - air	0.261304014
297151	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	Hg - non combustion - Steel production: basic oxygen furnace - air	12318.83244
297152	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	Hg - non combustion - Steel production: electric arc furnace - air	12318.83244
297153	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	Hg - non combustion - Unrefined copper; copper anodes for electrolytic refining - air	12318.83244
297154	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	Hg - non combustion - Zinc, unwrought, not alloyed - air	12318.83244
297155	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	Indeno - non combustion - Primary aluminium production - air	0.80283912
297156	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	Indeno - non combustion - Production of coke oven coke - air	0.80283912
297157	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	Indeno - non combustion - Production of gascoke - air	0.80283912
297228	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	Ni - non combustion - Agglomeration plant - pellets - air	33.34493407
297229	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	Ni - non combustion - Agglomeration plant - sinter - air	33.34493407
297230	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	Ni - non combustion - Glass production - air	33.34493407
297231	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	Ni - non combustion - Production of coke oven coke - air	33.34493407
297232	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	Ni - non combustion - Production of gascoke - air	33.34493407
297233	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	Ni - non combustion - Steel production: basic oxygen furnace - air	33.34493407
297234	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	Ni - non combustion - Steel production: electric arc furnace - air	33.34493407
297235	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	Ni - non combustion - Steel production: open hearth furnace - air	33.34493407
297248	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	PCDD/F - non combustion - Agglomeration plant - pellets - air	12000.04517
297249	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	PCDD/F - non combustion - Agglomeration plant - sinter - air	12000.04517
297250	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	PCDD/F - non combustion - Pig iron production, blast furnace - air	12000.04517
297251	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	PCDD/F - non combustion - Secondary aluminium production - air	12000.04517
297252	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	PCDD/F - non combustion - Steel production: basic oxygen furnace - air	12000.04517
297253	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	PCDD/F - non combustion - Steel production: electric arc furnace - air	12000.04517
297346	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	Pb - non combustion - Agglomeration plant - pellets - air	0.707397711
297347	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	Pb - non combustion - Agglomeration plant - sinter - air	0.707397711
297348	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	Pb - non combustion - Glass production - air	0.707397711
297349	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	Pb - non combustion - Nickel, unwrought - air	0.707397711
297350	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	Pb - non combustion - Pig iron production, blast furnace - air	0.707397711
297351	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	Pb - non combustion - Production of coke oven coke - air	0.707397711
297352	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	Pb - non combustion - Production of gascoke - air	0.707397711
297353	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	Pb - non combustion - Refined copper; unwrought, not alloyed - air	0.707397711
297354	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	Pb - non combustion - Refined lead, unwrought - air	0.707397711
297355	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	Pb - non combustion - Steel production: basic oxygen furnace - air	0.707397711
297356	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	Pb - non combustion - Steel production: electric arc furnace - air	0.707397711
297357	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	Pb - non combustion - Steel production: open hearth furnace - air	0.707397711
297358	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	Pb - non combustion - Unrefined copper; copper anodes for electrolytic refining - air	0.707397711
297359	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	Pb - non combustion - Zinc, unwrought, not alloyed - air	0.707397711
297379	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	Se - non combustion - Agglomeration plant - pellets - air	53.1247641
297380	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	Se - non combustion - Agglomeration plant - sinter - air	53.1247641
297381	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	Se - non combustion - Glass production - air	53.1247641
297382	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	Se - non combustion - Steel production: basic oxygen furnace - air	53.1247641
297429	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	Zn - non combustion - Agglomeration plant - pellets - air	3.638545408
